Credit_Card_Number,Credit_Limit,Amount_Spent,Bill_Payment_Due_Date,Minimum_Payment,Customer_Id
180058348348350,31626.65,23752.26,2025-05-10,138.0,EXMK511047
6011673664853205,7638.99,270.69,2025-05-06,228.06,LPUR360914
30587089432694,19614.61,34487.93,2025-05-11,248.1,IVWL319433
4436958050454,40958.3,34380.34,2025-04-16,488.4,MQJU866618
349284672007341,15721.33,24128.45,2025-04-22,362.88,EIHT920116
3590773729545030,16394.98,38582.98,2025-05-11,485.93,AKMU829962
502062585158,37008.84,25316.1,2025-04-15,485.49,HZCO456424
4045028143531275,16968.43,11212.01,2025-05-12,403.64,DMOK677002
4379531112359042657,6580.5,22554.02,2025-04-22,316.5,JFEV711332
30428662510855,9816.43,30704.72,2025-05-08,62.11,QICZ560821
4855451460912,23619.49,28334.68,2025-05-12,247.3,AKMU829962
4117455537066,41732.81,2766.35,2025-04-20,431.5,NYYA375482
30281673374617,33975.9,5567.16,2025-04-20,186.27,FPCV950052
2277562641260840,33274.49,28609.46,2025-05-09,405.08,GYFP877470
2676209906931965,23004.27,23917.35,2025-04-25,312.01,CBTE268592
639039951673,25824.02,36815.69,2025-04-16,361.27,JFEV711332
4059982267312343881,2801.49,38737.12,2025-05-09,365.74,YEJO286333
578514202592,30097.18,36576.05,2025-04-25,99.22,OXAH120735
6550282313427556,33222.48,14200.35,2025-05-05,341.15,LQCJ770054
6529911549044318,28597.79,25801.25,2025-05-09,341.03,NIPC246335
3543695310297713,17248.24,31849.24,2025-04-19,97.68,VKIY777252
346291792651737,13678.18,20427.05,2025-04-21,283.46,IDRC563268
213162910873927,34695.56,8841.27,2025-04-21,218.35,FFAT124186
2718369157376714,38844.77,23543.6,2025-04-15,275.21,QBVL626565
349877074599151,49887.43,19310.84,2025-04-23,182.94,GZDK274205
574500202688,6687.4,37627.05,2025-04-25,113.75,ZWHP280512
180089034502950,17810.27,31370.8,2025-05-08,284.5,WUHA147195
6560304093467541,24331.96,17526.64,2025-04-17,363.54,XYZZ183067
213136881013820,4291.54,1787.32,2025-05-05,369.85,MTVH792374
4051334601842209,42609.82,25918.8,2025-04-18,354.71,KIQO099861
4532083168169,46566.2,29619.58,2025-04-24,282.2,NKYJ235677
6011389173690786,8846.65,22393.96,2025-05-12,481.31,KCRF755394
3576720005214102,40090.03,25190.41,2025-05-07,133.87,XAGO583094
675916348500,22174.59,1167.69,2025-05-09,326.35,VWNV846081
3512370851191942,23029.18,17182.11,2025-04-28,52.0,JPRD291428
375697296556194,11083.44,30093.02,2025-04-23,413.93,PGDE172715
36713771886260,29290.05,31980.09,2025-04-25,291.6,DMOK677002
3561266783055736,16973.26,18302.02,2025-05-06,168.06,LZVZ289931
2238874022346140,26858.04,25564.34,2025-04-28,318.64,HCSA368900
6527633041176149,20234.66,4569.28,2025-04-22,208.39,TZHQ597779
4524831968636479,31250.77,32549.53,2025-04-15,367.69,EQDM158148
4568969870368830045,46015.45,23606.73,2025-05-10,352.45,LHXJ430091
4936315922915,6775.22,12215.2,2025-04-22,132.37,SYZD256523
30065934104065,7926.57,15538.53,2025-04-21,318.39,SODE529671
3518722824718306,19801.79,7430.15,2025-04-18,335.98,SYZD256523
213179607578981,46038.89,37227.8,2025-04-26,127.96,KIQO099861
3549979905221716,24992.46,5611.86,2025-04-19,191.56,CJQQ814311
4565818981061735636,31351.09,34620.89,2025-04-18,478.33,GWEQ980271
6011129755726164,7690.2,32608.64,2025-05-12,483.72,FKYM258896
4378811938999068204,33000.42,16365.37,2025-04-19,271.28,KIRL741721
4716753216339,42154.7,19547.98,2025-05-04,87.2,LDVL850643
2241798549004905,39998.16,8821.18,2025-04-25,64.71,KNLD269448
30295458583564,27342.82,6728.36,2025-04-25,255.79,LMEM149915
4274392255174197,38854.83,19812.53,2025-04-22,279.86,MHSA409074
344762123601866,6596.13,31004.52,2025-04-25,420.48,DMOK677002
3554138453156301,27560.13,30271.45,2025-05-13,392.0,SZGS284567
